region,country_code,type,parent_code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
UN development groups,1803,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...
More developed regions,901,Development Group,1803,   59,   43,   33,   26,   21,   18,   15,   13,   11,   9,   7,   6,   5,   4
Less developed regions,902,Development Group,1803,   159,   147,   137,   117,   105,   95,   84,   74,   69,   62,   54,   45,   37,   32
Least developed countries,941,Development Group,902,   197,   180,   165,   152,   147,   137,   124,   114,   105,   93,   79,   66,   55,   47
"Less developed regions, excluding least developed countries",934,Development Group,902,   153,   142,   133,   112,   98,   87,   76,   66,   61,   54,   47,   39,   32,   27
"Less developed regions, excluding China",948,Development Group,1803,   173,   154,   139,   128,   118,   106,   93,   83,   75,   67,   58,   49,   41,   35
Land-locked Developing Countries (LLDC),1636,Special other,1803,   181,   167,   153,   143,   133,   124,   116,   107,   102,   90,   77,   63,   51,   42
Small Island Developing States (SIDS),1637,Special other,1803,   126,   110,   97,   88,   78,   73,   66,   57,   51,   46,   42,   38,   35,   32
World Bank income groups,1802,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...
High-income countries,1503,Income Group,1802,   55,   44,   37,   30,   24,   20,   15,   12,   10,   8,   7,   6,   5,   5
Middle-income countries,1517,Income Group,1802,   153,   141,   132,   112,   100,   90,   78,   68,   63,   57,   49,   40,   33,   28
Upper-middle-income countries,1502,Income Group,1517,   132,   124,   121,   93,   75,   62,   50,   43,   39,   33,   26,   20,   15,   12
Lower-middle-income countries,1501,Income Group,1517,   178,   159,   145,   133,   125,   112,   99,   88,   80,   71,   61,   52,   43,   37
Low-income countries,1500,Income Group,1802,   191,   175,   164,   150,   139,   130,   122,   113,   107,   95,   81,   67,   56,   48
No income group available,1518,Income Group,1802,   107,   87,   71,   60,   50,   45,   39,   30,   25,   20,   17,   14,   12,   11
Geographic regions,1840,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Africa,903,Region,1840,   183,   168,   154,   143,   133,   121,   111,   104,   101,   93,   81,   68,   56,   47
Asia,935,Region,1840,   155,   145,   136,   113,   100,   90,   78,   67,   62,   55,   46,   37,   30,   25
Europe,908,Region,1840,   72,   50,   37,   30,   25,   22,   18,   16,   13,   10,   8,   6,   5,   4
Latin America and the Caribbean,904,Region,1840,   126,   113,   101,   91,   80,   70,   59,   48,   38,   31,   25,   20,   17,   15
Northern America,905,Region,1840,   31,   28,   25,   22,   18,   14,   11,   10,   8,   7,   7,   7,   6,   6
Oceania,909,Region,1840,   64,   56,   50,   45,   40,   37,   33,   29,   27,   26,   26,   23,   20,   18
Sustainable Development Goal (SDG) regions,1828,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...
SUB-SAHARAN AFRICA,947,SDG region,1828,   178,   165,   154,   143,   133,   124,   116,   112,   109,   101,   88,   73,   61,   51
Eastern Africa,910,Subregion,947,   171,   159,   146,   137,   129,   123,   119,   113,   110,   95,   78,   63,   50,   42
Burundi,108,Country/Area,910,   166,   157,   149,   140,   136,   132,   117,   104,   111,   103,   88,   70,   52,   42
Comoros,174,Country/Area,910,   192,   180,   166,   153,   139,   127,   109,   93,   81,   74,   73,   67,   58,   53
Djibouti,262,Country/Area,910,   154,   143,   131,   120,   104,   96,   87,   81,   76,   72,   68,   63,   56,   33
Eritrea,232,Country/Area,910,   199,   181,   160,   148,   140,   132,   121,   112,   94,   71,   59,   52,   45,   35
Ethiopia,231,Country/Area,910,   199,   181,   160,   148,   140,   136,   140,   126,   114,   97,   78,   60,   46,   37
Kenya,404,Country/Area,910,   142,   134,   121,   109,   97,   86,   76,   74,   74,   71,   63,   51,   42,   36
Madagascar,450,Country/Area,910,   183,   169,   156,   145,   134,   122,   109,   108,   100,   78,   58,   45,   37,   29
Malawi,454,Country/Area,910,   178,   176,   173,   169,   162,   155,   148,   141,   127,   106,   87,   68,   53,   41
Mauritius,480,Country/Area,910,   103,   74,   61,   67,   61,   38,   26,   23,   18,   20,   13,   13,   12,   11
Mayotte,175,Country/Area,910,   143,   109,   82,   61,   46,   34,   25,   19,   14,   10,   8,   6,   4,   4
Mozambique,508,Country/Area,910,   164,   158,   152,   153,   153,   152,   150,   145,   138,   121,   99,   79,   63,   54
Réunion,638,Country/Area,910,   142,   109,   82,   61,   46,   34,   25,   19,   14,   10,   8,   6,   4,   3
Rwanda,646,Country/Area,910,   150,   145,   140,   136,   135,   130,   114,   120,   196,   122,   94,   63,   39,   29
Seychelles,690,Country/Area,910,   81,   76,   70,   60,   47,   32,   21,   16,   13,   12,   12,   12,   12,   11
Somalia,706,Country/Area,910,   200,   186,   173,   160,   147,   137,   128,   123,   129,   105,   97,   90,   79,   69
South Sudan,728,Country/Area,910,   248,   225,   209,   193,   181,   169,   164,   150,   130,   114,   101,   79,   66,   64
Uganda,800,Country/Area,910,   150,   141,   131,   120,   117,   116,   117,   116,   105,   94,   80,   71,   59,   46
United Republic of Tanzania,834,Country/Area,910,   148,   142,   138,   132,   125,   116,   113,   109,   105,   94,   71,   55,   47,   41
Zambia,894,Country/Area,910,   138,   129,   121,   116,   107,   100,   105,   116,   117,   109,   88,   65,   53,   46
Zimbabwe,716,Country/Area,910,   114,   103,   91,   80,   76,   75,   65,   55,   62,   69,   65,   63,   51,   39
Middle Africa,911,Subregion,947,   171,   163,   155,   147,   136,   129,   122,   117,   114,   115,   104,   88,   74,   64
Angola,24,Country/Area,911,   193,   188,   181,   172,   162,   155,   149,   145,   145,   142,   129,   104,   78,   61
Cameroon,120,Country/Area,911,   155,   149,   141,   133,   123,   112,   104,   100,   103,   106,   92,   80,   71,   61
Central African Republic,140,Country/Area,911,   170,   164,   158,   150,   137,   123,   113,   111,   111,   110,   105,   100,   90,   82
Chad,148,Country/Area,911,   186,   177,   168,   159,   146,   138,   130,   123,   119,   114,   108,   98,   84,   75
Congo,178,Country/Area,911,   134,   121,   108,   97,   86,   76,   67,   60,   64,   74,   72,   52,   41,   35
Democratic Republic of the Congo,180,Country/Area,911,   166,   157,   151,   143,   134,   129,   121,   116,   110,   113,   99,   84,   73,   65
Equatorial Guinea,226,Country/Area,911,   167,   163,   158,   154,   149,   143,   131,   125,   116,   106,   95,   85,   74,   66
