region,country_code,type,parent_code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
Africa,903,Region,1840,37.49,40.04,42.45,44.53,46.61,48.82,50.74,52.09,51.93,52.33,53.53,56.78,60.25,62.66
Asia,935,Region,1840,42.3,44.57,46.49,52.68,56.38,59.19,61.45,63.46,64.98,66.55,68.33,70.03,71.83,73.28
Europe,908,Region,1840,63.69,67.13,69.21,70.05,70.62,71.05,71.66,72.84,72.67,73.11,73.8,75.3,77.18,78.33
Latin America and the Caribbean,904,Region,1840,51.4,54.24,56.79,58.95,61.23,63.33,65.29,67.15,68.96,70.67,72.25,73.45,74.44,75.24
Northern America,905,Region,1840,68.71,69.7,70.2,70.51,71.56,73.35,74.51,75.07,75.85,76.68,77.42,78.44,79.23,79.15
Oceania,909,Region,1840,59.09,61.81,63.4,64.58,66.27,68.16,69.89,71.06,72.58,73.62,74.91,76.25,77.35,78.44
SUB-SAHARAN AFRICA,947,SDG region,1828,36.36,38.61,40.88,42.83,44.91,46.95,48.53,49.56,49.12,49.36,50.55,54.04,57.85,60.52
Eastern Africa,910,Subregion,947,37.42,39.99,42.67,44.62,46.34,47.86,48.58,49.39,47.69,49.24,51.46,56.07,60.97,64.15
Burundi,108,Country/Area,910,39.03,40.53,42.03,43.53,44.23,46.29,47.28,48.51,47.03,47.32,51.42,55.27,58.92,61.03
Comoros,174,Country/Area,910,38.72,40.47,42.47,44.48,46.85,49.06,52.29,55.29,57.82,59.29,59.6,60.89,62.83,63.98
Djibouti,262,Country/Area,910,41.04,42.95,45.18,47.35,50.9,52.55,54.67,56.11,57.02,57.02,57.29,59.05,61.56,66.54
Eritrea,232,Country/Area,910,34.08,36.68,40.08,42.15,44.12,45.91,47.33,48.69,50.77,53.97,56.7,60.71,63.42,65.74
Ethiopia,231,Country/Area,910,34.08,36.68,40.08,42.14,43.52,44.26,43.52,46.15,48.07,50.7,53.61,59.08,63.7,65.97
Kenya,404,Country/Area,910,42.57,45.1,48.44,51.12,53.96,56.49,58.83,58.6,55.66,51.77,51.69,58.49,62.92,66.18
Madagascar,450,Country/Area,910,36.32,38.75,41.17,43.53,45.97,48.08,49.66,49.91,52.66,56.68,60.03,62.23,64.51,66.49
Malawi,454,Country/Area,910,34.85,35.99,37.38,38.59,41.07,43.25,45.12,45.85,46.14,45.55,45.61,51.31,59.56,63.43
Mauritius,480,Country/Area,910,50.2,55.75,61.22,62.95,63.53,65.66,68.12,68.52,70.28,70.39,72.09,72.76,74.15,74.76
Mayotte,175,Country/Area,910,47.26,52.81,57.07,60.71,63.87,66.61,69.02,71.14,73.09,74.86,76.47,77.95,79.34,79.35
Mozambique,508,Country/Area,910,35,37.99,40.49,40.92,41.91,43.46,43.48,44.35,46.29,47.95,49.88,51.09,54.21,60.05
Réunion,638,Country/Area,910,47.86,53.44,57.72,61.38,64.59,67.28,69.64,71.74,73.58,75.28,76.83,78.2,79.54,80.03
Rwanda,646,Country/Area,910,40.15,41.75,43.4,44.49,44.95,46.2,50.27,48.7,21.79,45.09,50.41,60.03,65.79,68.44
Seychelles,690,Country/Area,910,61.9,62.94,63.92,65.39,67.35,69.24,70.56,70.77,70.74,70.8,71.56,72.6,73.07,73.29
Somalia,706,Country/Area,910,33.99,35.99,37.97,39.99,41.91,43.8,45.48,46.38,44.96,49.8,51.49,53.18,54.86,56.94
South Sudan,728,Country/Area,910,27.93,30.59,32.73,34.88,36.7,38.68,39.45,41.81,45.32,48.17,50.19,53.28,56.06,57.43
Uganda,800,Country/Area,910,40.13,42.91,45.8,48.55,49.56,49.8,49.81,47.53,44.52,44.32,49.02,54.41,59.46,62.76
United Republic of Tanzania,834,Country/Area,910,41.01,42.93,44.22,45.85,47.77,49.81,50.48,50.7,49.67,49.54,52.66,56.29,60.91,64.84
Zambia,894,Country/Area,910,43.24,45.54,47.68,49.02,51.19,52.5,52.73,51.85,46.36,43.36,46.01,51.75,59.29,63.26
Zimbabwe,716,Country/Area,910,49.68,51.86,54.16,56.23,57.45,58.48,60.76,60.65,54.44,46.97,43.74,45.02,56.71,60.83
Middle Africa,911,Subregion,947,37.76,39.37,40.91,42.67,44.81,46.31,47.85,48.86,49.26,48.56,50.55,53.88,56.99,59.36
Angola,24,Country/Area,911,35.85,36.89,38.27,40,41.82,43.52,44.68,45.34,45.24,45.65,48.05,52.69,57.74,60.54
Cameroon,120,Country/Area,911,38.53,40.62,42.99,45.24,47.85,50.46,52.4,53.67,52.6,50.82,51.78,53.97,56.28,58.77
Central African Republic,140,Country/Area,911,32.74,35.12,37.45,40.3,44.26,47.95,49.76,49.64,48.12,45.04,44.1,46,48.91,52.67
Chad,148,Country/Area,911,36.06,37.36,38.7,40.14,42.56,44.08,45.46,46.73,47.18,47.65,47.95,49.51,52.27,53.8
Congo,178,Country/Area,911,40.43,44.04,47.21,49.64,51.69,53.4,54.83,55.23,53.72,51.91,53.35,58.18,61.66,64.16
Democratic Republic of the Congo,180,Country/Area,911,39.06,40.55,41.63,42.99,44.77,45.63,47.13,48.25,49.59,48.89,51.84,55.48,58.1,60.21
Equatorial Guinea,226,Country/Area,911,33.96,35.68,37.38,39.03,40.68,42.31,45.97,47.7,49.93,52.34,53.99,54.9,56.48,58.25
Gabon,266,Country/Area,911,36.82,39.04,40.67,45.02,49.2,53.23,57.16,60.55,60.66,59.4,57.62,59.58,63.35,66.06
Sao Tome and Principe,678,Country/Area,911,46.73,49.03,51.73,54.04,56.7,59.26,60.01,58.69,58.25,59.9,63.06,66.14,68.49,70.05
Southern Africa,913,Subregion,947,44.61,47.23,49.18,51.24,53.84,56.72,59.23,62.05,62.72,58.21,53.04,54,60.34,63.28
Botswana,72,Country/Area,913,44.9,47.83,50.42,52.65,55.08,57.92,60.12,61.16,56.48,52.68,50.08,55.87,64.41,69.1
Eswatini,748,Country/Area,913,40.36,42.59,44.54,46.63,49.87,53.58,57.61,61.18,60.9,52.64,43.63,43.85,50.67,59.31
Lesotho,426,Country/Area,913,45,47.18,48.5,49.66,51.83,55.04,58.11,59.81,58.58,52,44.22,43.07,48.15,53.51
Namibia,516,Country/Area,913,40.7,44.53,48.32,51.4,53.88,56.69,58.03,60.69,61.19,55.04,50.64,53.01,60.39,63.02
South Africa,710,Country/Area,913,44.83,47.42,49.31,51.37,53.99,56.85,59.36,62.26,63.25,58.97,53.9,54.7,60.95,63.62
Western Africa,914,Subregion,947,33.47,35.49,37.65,39.6,41.85,44.44,46.73,47.73,48.27,48.42,49.54,52.56,55.06,57.32
Benin,204,Country/Area,914,33.71,36.14,38.41,40.87,43.48,46.22,48.3,51.92,55.14,54.96,56.18,58.56,59.93,61.3
Burkina Faso,854,Country/Area,914,30.94,33.29,35.59,38.04,40.27,43.39,48.39,49.48,49.33,49.86,51.61,55.27,58.71,60.92
Cabo Verde,132,Country/Area,914,47.57,48.29,49,52.04,54.9,60.21,62.11,63.84,65.5,67.11,69.92,70.65,71.53,72.7
Côte d'Ivoire,384,Country/Area,914,30.17,33.91,38.27,41.95,46.26,49.73,52.06,53.32,52.66,50.44,49.47,51.42,54.63,57.25
Gambia,270,Country/Area,914,30.25,31.55,32.83,35.83,40.1,44.27,48.24,51.38,52.9,54.95,56.94,58.85,60.32,61.54
Ghana,288,Country/Area,914,42.17,44.67,46.9,48.62,50.03,51.6,53.06,55.32,57.78,57,57.5,60.13,61.82,63.65
Guinea,324,Country/Area,914,33.08,34.33,35.38,36.14,37.43,39.89,43.09,47.96,51.32,51.63,51.34,55.55,58.01,61.04
Guinea-Bissau,624,Country/Area,914,35.59,36.86,38.17,39.88,41.42,43.14,44.93,46.3,47.91,49.45,51.35,53.31,55.94,57.82
Liberia,430,Country/Area,914,32.62,33.74,35.05,37.87,40.93,44.53,46.97,46.62,46.2,50.82,52.77,58.1,60.73,63.6
Mali,466,Country/Area,914,26.96,27.98,28.61,30.8,34.2,37.71,41.55,44.51,46.57,46.75,49.96,54.02,56.24,58.71
Mauritania,478,Country/Area,914,39.57,42.71,46.16,49.35,51.31,53.53,56.34,58.89,60.15,60.56,60.94,61.91,63.21,64.61
Niger,562,Country/Area,914,34.5,34.82,35.29,35.62,36.32,37.76,40.26,42.27,45.01,48.36,51.57,55.34,59.16,61.8
Nigeria,566,Country/Area,914,33.81,35.8,38.13,39.97,42.03,44.29,46.02,45.95,45.87,46,46.94,49.76,51.95,54.18
Senegal,686,Country/Area,914,35.47,37.49,38.62,38.42,40.91,46.5,51.27,56.05,57.59,57.24,58.93,62.55,65.74,67.47
Sierra Leone,694,Country/Area,914,28.79,30.73,32.47,34.83,37.32,39.4,40.54,39.72,37.56,37.61,42.03,46.99,51.42,54.07
