region,country_code,type,parent_code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
Africa,903,Region,1840,6.57,6.62,6.7,6.71,6.7,6.64,6.5,6.19,5.72,5.35,5.08,4.9,4.73,4.44
Asia,935,Region,1840,5.83,5.59,5.8,5.75,5.06,4.1,3.69,3.5,2.9,2.61,2.45,2.33,2.21,2.15
Europe,908,Region,1840,2.66,2.66,2.57,2.37,2.17,1.98,1.88,1.81,1.57,1.43,1.43,1.56,1.6,1.61
Latin America and the Caribbean,904,Region,1840,5.83,5.85,5.83,5.46,4.92,4.44,3.94,3.45,3.08,2.77,2.49,2.26,2.14,2.04
Northern America,905,Region,1840,3.34,3.61,3.28,2.55,2.02,1.77,1.79,1.88,2,1.95,1.99,2.01,1.85,1.75
Oceania,909,Region,1840,3.89,4.1,3.97,3.59,3.25,2.76,2.63,2.53,2.52,2.48,2.46,2.54,2.44,2.36
Sustainable Development Goal (SDG) regions,1828,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...
SUB-SAHARAN AFRICA,947,SDG region,1828,6.51,6.55,6.64,6.68,6.76,6.78,6.72,6.52,6.17,5.88,5.64,5.4,5.1,4.72
Eastern Africa,910,Subregion,947,6.99,6.99,7.08,7.1,7.14,7.11,7,6.78,6.38,6.09,5.76,5.38,4.9,4.43
Burundi,108,Country/Area,910,6.8,6.86,7.05,7.23,7.26,7.4,7.38,7.46,7.3,7.05,6.77,6.39,5.95,5.45
Comoros,174,Country/Area,910,6,6.6,6.91,7.05,7.05,7.05,7.05,6.7,6.1,5.6,5.2,4.9,4.6,4.24
Djibouti,262,Country/Area,910,6.31,6.39,6.55,6.71,6.85,6.64,6.45,6.18,5.85,4.81,4.21,3.55,3.1,2.76
Eritrea,232,Country/Area,910,6.97,6.97,6.82,6.7,6.62,6.62,6.7,6.6,6.3,5.6,5.1,4.8,4.35,4.1
